1;00:01:39,638;00:01:50,357;<font color=#ec14bd>Sync & corrections by honeybunny</font>
﻿1;00:01:39,638;00:01:50,357;<font color=#ec14bd>www.addic7ed.com</font>
2;00:02:48,237;00:02:51,156;Valar morghulis.
3;00:02:51,207;00:02:53,241;Valar dohaeris.
4;00:03:29,662;00:03:32,364;I've been sweeping
4;00:03:29,662;00:03:32,364;this floor for days.
5;00:03:32,366;00:03:33,799;Good.
6;00:03:33,833;00:03:35,951;I didn't come here
6;00:03:33,833;00:03:35,951;to sweep floors.
7;00:03:36,002;00:03:38,370;No?
8;00:03:38,372;00:03:40,205;Why come, then?
9;00:03:40,256;00:03:43,375;You said I could be
9;00:03:40,256;00:03:43,375;your apprentice.
10;00:03:43,377;00:03:45,961;You said you'd teach me
10;00:03:43,377;00:03:45,961;how to be a Faceless Man.
11;00:03:46,012;00:03:48,180;A man teaches a girl.
12;00:03:49,882;00:03:51,817;Valar dohaeris.
13;00:03:51,851;00:03:54,019;All men must serve.
14;00:03:54,053;00:03:56,188;Faceless Men most of all.
15;00:03:57,807;00:04:00,392;I want to serve.
16;00:04:02,895;00:04:05,197;A girl wants to serve herself.
17;00:04:05,231;00:04:07,699;Here we serve
17;00:04:05,231;00:04:07,699;the Many-Faced God.
18;00:04:07,734;00:04:09,234;To serve well,
19;00:04:09,236;00:04:11,570;a girl must become no one.
20;00:04:11,572;00:04:13,372;Which one's
20;00:04:11,572;00:04:13,372;the Many-Faced God?
21;00:04:13,406;00:04:17,325;I see the Stranger.
21;00:04:13,406;00:04:17,325;I see the Drowned God.
22;00:04:17,377;00:04:18,910;I see the weirwood face.
23;00:04:18,912;00:04:21,279;There is only one god.
24;00:04:21,314;00:04:23,749;A girl knows his name.
25;00:04:23,800;00:04:25,851;And all men know his gift.
26;00:05:03,339;00:05:05,540;Where are they taking him?
27;00:05:22,859;00:05:27,529;Queen Margaery!
27;00:05:22,859;00:05:27,529;Queen Margaery!
28;00:05:32,485;00:05:34,703;Queen Margaery!
29;00:05:36,989;00:05:38,990;Queen Margaery!
30;00:05:38,992;00:05:41,326;Queen Margaery!
31;00:05:45,748;00:05:48,917;I am his and he is mine.
31;00:05:45,748;00:05:48,917;I am hers and she is mine.
32;00:05:48,968;00:05:52,671;From this day until
32;00:05:48,968;00:05:52,671;the end of my days.
33;00:06:36,215;00:06:38,133;Did I hurt you?
34;00:06:38,184;00:06:40,385;No.
34;00:06:38,184;00:06:40,385;You were lovely.
35;00:06:40,436;00:06:43,555;It all happened so fast.
35;00:06:40,436;00:06:43,555;Yes.
36;00:06:43,557;00:06:45,524;I was scared maybe I hurt you.
37;00:06:45,558;00:06:48,193;It sounded like--
37;00:06:45,558;00:06:48,193;No, no, no.
38;00:06:48,227;00:06:49,895;You're very sweet.
39;00:06:49,897;00:06:53,231;The sweetest king
39;00:06:49,897;00:06:53,231;who ever lived.
40;00:06:53,282;00:06:56,618;This is all I want
40;00:06:53,282;00:06:56,618;to do all day,
41;00:06:56,652;00:06:58,320;every day,
41;00:06:56,652;00:06:58,320;for the rest of my life.
42;00:06:58,371;00:07:01,156;Wouldn't
42;00:06:58,371;00:07:01,156;that be glorious?
43;00:07:02,575;00:07:04,209;Shouldn't we rest
43;00:07:02,575;00:07:04,209;a little while?
44;00:07:04,243;00:07:06,795;Just to catch our breath?
44;00:07:04,243;00:07:06,795;There's no rush, is there?
45;00:07:06,829;00:07:09,247;Of course not.
46;00:07:09,298;00:07:10,882;Are you hungry?
47;00:07:10,917;00:07:13,301;Should I have them bring you
47;00:07:10,917;00:07:13,301;some cake or pomegranate juice?
48;00:07:13,336;00:07:15,086;No, I'm fine.
49;00:07:15,171;00:07:18,306;I just want you all to myself.
50;00:07:18,341;00:07:20,725;I want to know everything
50;00:07:18,341;00:07:20,725;there is to know
51;00:07:20,760;00:07:23,929;about King Tommen,
51;00:07:20,760;00:07:23,929;First of His Name.
52;00:07:23,931;00:07:25,931;King Tommen.
53;00:07:25,982;00:07:28,984;Still sounds strange to me.
54;00:07:29,018;00:07:31,736;Does Queen Margaery
54;00:07:29,018;00:07:31,736;sound strange to you?
55;00:07:32,605;00:07:34,606;So strange.
56;00:07:34,690;00:07:36,608;Husband.
56;00:07:34,690;00:07:36,608;Wife.
57;00:07:39,829;00:07:42,163;Sometimes it feels odd.
58;00:07:42,198;00:07:43,848;I'm the king,
59;00:07:43,883;00:07:47,953;I've married the most
59;00:07:43,883;00:07:47,953;beautiful woman in the world,
60;00:07:47,987;00:07:51,122;and it's all because
60;00:07:47,987;00:07:51,122;my brother died.
61;00:07:51,173;00:07:53,341;I understand.
62;00:07:53,376;00:07:56,711;But it's not your fault.
62;00:07:53,376;00:07:56,711;You know that, don't you?
63;00:07:56,762;00:07:58,680;You mustn't feel guilty.
64;00:07:59,849;00:08:02,234;I don't feel guilty.
65;00:08:02,268;00:08:04,102;That's what's odd.
66;00:08:07,056;00:08:08,473;Do you like to sail?
67;00:08:08,524;00:08:10,558;I love to sail.
68;00:08:10,610;00:08:12,694;I do, too.
69;00:08:12,728;00:08:15,897;I think we're going to be
69;00:08:12,728;00:08:15,897;very happy, you and I.
70;00:08:15,948;00:08:18,400;I do, too.
71;00:08:21,070;00:08:25,540;Living in a tower so
71;00:08:21,070;00:08:25,540;high itches the clouds.
72;00:08:26,993;00:08:29,494;Of course, my grandmother
72;00:08:26,993;00:08:29,494;couldn't wait to go home.
73;00:08:29,545;00:08:32,330;The capital's not
73;00:08:29,545;00:08:32,330;for everyone, I suppose.
74;00:08:34,300;00:08:37,302;Does your mother like it here?
75;00:08:37,336;00:08:39,254;I don't think so.
76;00:08:39,305;00:08:42,007;She told me never to trust
76;00:08:39,305;00:08:42,007;anyone in King's Landing.
77;00:08:43,676;00:08:46,728;It's so wonderful to have
77;00:08:43,676;00:08:46,728;her watching over you.
78;00:08:46,762;00:08:49,514;A lioness guarding her cub.
79;00:08:49,565;00:08:52,183;Well, but I'm a man now.
80;00:08:55,021;00:08:56,855;You are.
81;00:08:58,324;00:08:59,824;And the king.
82;00:09:01,994;00:09:04,829;But you'll always be
82;00:09:01,994;00:09:04,829;her baby boy.
83;00:09:04,864;00:09:08,033;I suppose.
