1;00:00:06,232;00:00:09,191;( theme music playing )
2;00:01:44,000;00:01:52,000;== sync, corrected by <font color=#00FF00>Salva TDS</font> ==
2;00:01:44,000;00:01:52,000;<font color=#00FFFF></font>
3;00:01:53,233;00:01:55,192;( insects chirping )
4;00:01:57,400;00:01:59,483;( gasps, grunts )
5;00:02:01,026;00:02:02,192;( gasping )
6;00:02:05,358;00:02:06,817;( grunts )
7;00:02:10,233;00:02:13,191;( gasping )
8;00:02:13,192;00:02:16,525;( coughing, panting )
9;00:02:21,193;00:02:22,400;You could've killed me.
10;00:02:30,860;00:02:32,858;The fuck were you doing
10;00:02:30,860;00:02:32,858;back there?
11;00:02:32,859;00:02:35,150;Ending the war.
12;00:02:35,151;00:02:37,358;Killing her.
13;00:02:37,359;00:02:39,775;You saw the dragon
13;00:02:37,359;00:02:39,775;between you and her?
14;00:02:42,901;00:02:45,775;And?
14;00:02:42,901;00:02:45,775;( grunts )
15;00:02:52,525;00:02:54,358;Listen to me, cunt.
16;00:02:54,359;00:02:55,900;Till I get
16;00:02:54,359;00:02:55,900;what I'm owed,
17;00:02:55,901;00:02:57,734;a dragon doesn't
17;00:02:55,901;00:02:57,734;get to kill you,
18;00:02:57,735;00:02:59,609;you don't
18;00:02:57,735;00:02:59,609;get to kill you,
19;00:02:59,610;00:03:01,068;only I get
19;00:02:59,610;00:03:01,068;to kill you.
20;00:03:04,193;00:03:07,067;That was only
20;00:03:04,193;00:03:07,067;one of them.
21;00:03:07,068;00:03:09,901;She has two more.
22;00:03:09,902;00:03:12,984;If she decides to use them,
22;00:03:09,902;00:03:12,984;to really use them...
23;00:03:12,985;00:03:15,609;You're fucked.
23;00:03:12,985;00:03:15,609;Don't you mean we're fucked?
24;00:03:15,610;00:03:17,609;No, I do not.
25;00:03:17,610;00:03:20,775;Dragons are where
25;00:03:17,610;00:03:20,775;our partnership ends.
26;00:03:20,776;00:03:22,400;I'm not gonna be around
26;00:03:20,776;00:03:22,400;when those things
27;00:03:22,401;00:03:24,152;start spitting fire
27;00:03:22,401;00:03:24,152;on King's Landing.
28;00:03:26,193;00:03:27,651;I have to tell
28;00:03:26,193;00:03:27,651;Cersei.
29;00:03:30,484;00:03:32,443;May as well jump
29;00:03:30,484;00:03:32,443;back in that river.
30;00:04:09,359;00:04:11,734;( men shouting
30;00:04:09,359;00:04:11,734;in distance )
31;00:04:11,735;00:04:13,652;( shouting continues )
32;00:04:25,693;00:04:27,861;( Drogon screeches )
33;00:04:39,819;00:04:42,484;( roaring )
34;00:04:46,819;00:04:49,776;I know what Cersei
34;00:04:46,819;00:04:49,776;has told you.
35;00:04:49,777;00:04:54,526;That I've come
35;00:04:49,777;00:04:54,526;to destroy your cities,
36;00:04:54,527;00:04:55,776;burn down your homes,
37;00:04:55,777;00:04:57,527;murder you,
37;00:04:55,777;00:04:57,527;and orphan your children.
38;00:05:00,360;00:05:04,152;That's Cersei Lannister,
38;00:05:00,360;00:05:04,152;not me.
39;00:05:04,153;00:05:06,359;I'm not here
39;00:05:04,153;00:05:06,359;to murder,
40;00:05:06,360;00:05:08,110;and all I want
40;00:05:06,360;00:05:08,110;to destroy
41;00:05:08,111;00:05:11,193;is the wheel that has
41;00:05:08,111;00:05:11,193;rolled over rich and poor
42;00:05:11,194;00:05:15,402;to the benefit of no one but the
42;00:05:11,194;00:05:15,402;Cersei Lannisters of the world.
43;00:05:16,611;00:05:18,860;I offer you a choice...
44;00:05:18,861;00:05:21,193;bend the knee
44;00:05:18,861;00:05:21,193;and join me.
45;00:05:21,194;00:05:25,359;Together, we will leave the world
45;00:05:21,194;00:05:25,359;a better place than we found it.
46;00:05:25,360;00:05:28,359;Or refuse...
47;00:05:28,360;00:05:29,861;and die.
48;00:05:40,778;00:05:42,736;( snarls )
49;00:05:44,236;00:05:46,194;( roaring )
50;00:05:58,861;00:06:00,403;Step forward,
50;00:05:58,861;00:06:00,403;my lord.
51;00:06:09,569;00:06:11,527;You will not kneel?
52;00:06:11,528;00:06:12,904;I already have
52;00:06:11,528;00:06:12,904;a queen.
53;00:06:14,112;00:06:15,610;Tyrion:
53;00:06:14,112;00:06:15,610;My sister.
54;00:06:15,611;00:06:16,819;She wasn't your queen
55;00:06:16,820;00:06:18,860;until recently,
55;00:06:16,820;00:06:18,860;though, was she?
56;00:06:18,861;00:06:21,194;When she murdered
56;00:06:18,861;00:06:21,194;your rightful queen
57;00:06:21,195;00:06:23,819;and destroyed House Tyrell
57;00:06:21,195;00:06:23,819;for all time.
58;00:06:23,820;00:06:27,112;So it appears your allegiances
58;00:06:23,820;00:06:27,112;are somewhat flexible.
59;00:06:28,236;00:06:31,153;There are
59;00:06:28,236;00:06:31,153;no easy choices in war.
60;00:06:31,154;00:06:33,527;Say what you will
60;00:06:31,154;00:06:33,527;about your sister,
61;00:06:33,528;00:06:36,028;she was born
61;00:06:33,528;00:06:36,028;in Westeros.
62;00:06:36,029;00:06:38,277;She's lived here
62;00:06:36,029;00:06:38,277;all her life.
63;00:06:40,278;00:06:43,111;You, on the other hand,
64;00:06:43,112;00:06:45,861;murdered your own father
65;00:06:45,862;00:06:48,986;and chose to support
65;00:06:45,862;00:06:48,986;a foreign invader.
