1;00:04:19,100;00:04:20,466;Your Grace.
2;00:04:20,568;00:04:24,203;The trial will be
2;00:04:20,568;00:04:24,203;getting under way soon.
3;00:04:56,721;00:04:58,120;You got my money?
4;00:04:58,222;00:05:00,522;Later. Go away.
5;00:05:11,254;00:05:13,088;Grand Maester.
6;00:05:53,496;00:05:55,964;Ser Loras Tyrell.
7;00:05:57,801;00:06:00,534;Are you prepared to stand trial
8;00:06:00,637;00:06:04,338;and profess your guilt or
8;00:06:00,637;00:06:04,338;innocence before the Seven?
9;00:06:06,943;00:06:09,343;There'll be no need for a trial.
10;00:06:11,848;00:06:14,249;I confess before the Seven
11;00:06:14,350;00:06:16,350;and freely admit to my crimes.
12;00:06:17,854;00:06:20,588;To which crimes will you be confessing?
13;00:06:21,466;00:06:23,024;All of them.
14;00:06:24,761;00:06:26,460;I lay with other men
15;00:06:26,562;00:06:29,998;including the traitor Renly Baratheon.
16;00:06:33,503;00:06:36,271;I perjured myself before the gods.
17;00:06:36,372;00:06:38,673;I am guilty of depravity...
18;00:06:40,177;00:06:42,177;dishonesty,
19;00:06:42,279;00:06:43,744;profligacy,
20;00:06:43,847;00:06:46,714;and arrogance.
21;00:06:46,817;00:06:48,249;I see that now.
22;00:06:50,620;00:06:52,854;I humble myself before the Seven
23;00:06:52,956;00:06:56,357;and accept whatever punishment
23;00:06:52,956;00:06:56,357;the gods deem just.
24;00:06:58,394;00:07:03,264;The gods' judgment is fierce,
25;00:07:03,366;00:07:05,900;but also fair.
26;00:07:06,002;00:07:09,370;The Warrior punishes those
26;00:07:06,002;00:07:09,370;who believe themselves
27;00:07:09,472;00:07:11,739;beyond the reach of justice.
28;00:07:13,243;00:07:16,311;But the Mother shows her mercy
29;00:07:16,412;00:07:20,215;to those who kneel before her.
30;00:07:28,258;00:07:30,959;I take full responsibility
30;00:07:28,258;00:07:30,959;for my many sins
31;00:07:31,061;00:07:33,561;and unburden myself of my desires.
32;00:07:37,033;00:07:39,968;My only remaining wish
33;00:07:40,070;00:07:42,670;is to devote my life to the Seven.
34;00:07:43,471;00:07:45,840;May I be a living example of their grace
35;00:07:45,942;00:07:48,609;for others to witness.
36;00:07:50,180;00:07:53,647;You understand fully
37;00:07:53,750;00:07:55,583;what this means?
