,0,1,2,3,4
0,0,0,renly,You swear it?,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
1,0,1,catelyn,By the mother My son has no interest in the Iron Throne,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
2,0,2,renly,"Then I see no reason for hostility between us Your soncan go on calling himself King in the North The Starks will have dominion over all lands north of Moat Cailin, provided he swears me an oath of fealty","['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
3,0,3,catelyn,And the wording of this oath?,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
4,0,4,renly,"The same Ned Stark swore to Robert 18 years ago Cat, their friendship held the kingdoms together","['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
5,0,5,catelyn,And in return for my sons loyalty?,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
6,0,6,renly,"In the morning, Ill destroy my brothers army","['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
7,0,7,renly,"When thats done, Baratheon and Stark will fight their common enemy together, as they have done many times before","['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
8,0,8,catelyn,"Our two houses have always been close, which is why I am begging you to reconsider this battle Negotiate a peace with your brother","['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
9,0,9,renly,Negotiate with Stannis? You heard him out there Id have better luck debating the wind,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
10,0,10,renly,Please bring my terms to your son I believe we are natural allies I hope he feels the same Together we could end this war in a fortnight,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
11,0,11,brienne,No! No,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
12,0,12,soldier,Follow me,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
13,0,13,soldier,Youll die for this,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
14,0,14,catelyn,"No, wait, it wasnt her","['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
15,0,15,catelyn,Weve got to leave Theyll hang you for this,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
16,0,16,man,Inside the kings tent,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
17,0,17,go man,Now,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
18,0,18,brienne,I wont leave him,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
19,0,19,catelyn,You cant avenge him if youre dead,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
20,0,20,man,"Over there, go","['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
21,0,21,brienne,Not that way,"['Catelyn Stark', 'Brienne of Tarth', 'Renly Baratheon']"
22,2,22,margaery,We need to go home Loras,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
23,2,23,littlefinger,"My lord, my lady","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
24,2,24,loras,Get out,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
25,2,25,littlefinger,"Stannis will be here in an hour When he arrives, Renlys bannermen will flock to him Your former companions will fight for the privilege of selling you to their new king","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
26,2,26,loras,And you want that privilege for yourself,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
27,2,27,littlefinger,"You will note that I am standing here talking to you, not Stannis","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
28,2,28,margaery,Theres no time for this,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
29,2,29,loras,"Ride back to Highgarden, sister Im not running from Stannis","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
30,2,30,margaery,Brienne of Tarth murdered Renly,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
31,2,31,loras,I dont believe that You dont believe that Who gained the most from our kings death?,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
32,2,32,littlefinger,Stannis,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
33,2,33,loras,I will put a sword through his righteous face,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
34,2,34,margaery,You cant stay here,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
